Date|Open|High|Low|Close|Volume|Market Cap
Aug 08, 2016|0.013675|0.014958|0.011904|0.013190|5,377|116,312
Aug 07, 2016|0.013494|0.017126|0.012650|0.014127|4,485|114,769
Aug 06, 2016|0.013253|0.014514|0.011858|0.013493|3,940|112,720
Aug 05, 2016|0.014957|0.015364|0.012159|0.013155|7,317|127,213
Aug 04, 2016|0.015572|0.016110|0.013011|0.014958|5,107|132,450
Aug 03, 2016|0.015077|0.016183|0.014803|0.015574|1,180|128,236
Aug 02, 2016|0.018089|0.019034|0.014626|0.014980|1,208|153,850
Aug 01, 2016|0.018720|0.021401|0.017614|0.018079|955|159,216
Jul 31, 2016|0.020307|0.022822|0.017858|0.018730|1,010|172,720
Jul 30, 2016|0.018781|0.024130|0.017913|0.020308|3,328|159,739
Jul 29, 2016|0.018016|0.019532|0.017532|0.018779|3,506|153,229
Jul 28, 2016|0.017766|0.018476|0.017766|0.018018|1,221|151,105
Jul 27, 2016|0.018190|0.019625|0.017682|0.017765|1,144|154,709
Jul 26, 2016|0.020400|0.021549|0.017271|0.018199|4,318|173,510
Jul 25, 2016|0.022100|0.022227|0.020392|0.020395|1,039|187,971
Jul 24, 2016|0.024550|0.024610|0.021127|0.022203|8,241|208,806
Jul 23, 2016|0.025601|0.027875|0.023624|0.024557|2,824|217,746
Jul 22, 2016|0.024007|0.027551|0.023340|0.025732|6,063|204,189
Jul 21, 2016|0.025399|0.027237|0.023825|0.024138|2,128|216,030
Jul 20, 2016|0.023247|0.028101|0.023036|0.025404|6,905|197,724
Jul 19, 2016|0.022590|0.030810|0.021472|0.023249|4,299|192,136
Jul 18, 2016|0.022846|0.024472|0.022109|0.022614|2,990|194,317
Jul 17, 2016|0.020650|0.026030|0.020553|0.022826|5,663|175,640
Jul 16, 2016|0.020375|0.021437|0.020375|0.020836|2,041|173,295
Jul 15, 2016|0.019988|0.020967|0.019527|0.020709|2,490|170,002
Jul 14, 2016|0.019752|0.020382|0.019530|0.019989|1,481|167,997
Jul 13, 2016|0.020883|0.021882|0.019740|0.019793|1,496|177,622
Jul 12, 2016|0.020219|0.022585|0.019915|0.020883|3,625|171,968
Jul 11, 2016|0.020243|0.022373|0.019737|0.020219|4,836|172,171
Jul 10, 2016|0.020053|0.021227|0.019752|0.020979|2,293|170,557
Jul 09, 2016|0.020224|0.024726|0.019501|0.020058|5,515|172,014
Jul 08, 2016|0.019380|0.021067|0.019330|0.020264|1,524|164,830
Jul 07, 2016|0.022878|0.023272|0.018829|0.019363|1,567|194,583
Jul 06, 2016|0.021176|0.025007|0.019882|0.022868|4,227|180,112
Jul 05, 2016|0.021378|0.023992|0.019934|0.021203|2,823|181,828
Jul 04, 2016|0.021111|0.023907|0.020041|0.021368|3,574|179,559
Jul 03, 2016|0.021151|0.030211|0.020579|0.021069|5,687|179,895
Jul 02, 2016|0.021416|0.024000|0.020678|0.021138|1,164|182,153
Jul 01, 2016|0.023472|0.026519|0.019986|0.021406|3,944|199,635
Jun 30, 2016|0.016586|0.037814|0.016537|0.023496|20,700|141,070
Jun 29, 2016|0.017208|0.017624|0.016574|0.016582|972|146,363
Jun 28, 2016|0.017796|0.018589|0.017021|0.017307|1,648|151,364
Jun 27, 2016|0.016802|0.018562|0.016588|0.017630|1,130|142,903
Jun 26, 2016|0.018499|0.018640|0.016579|0.016821|616|157,343
Jun 25, 2016|0.017646|0.020563|0.017304|0.018505|887|150,086
Jun 24, 2016|0.017906|0.018987|0.017303|0.017690|1,435|152,301
Jun 23, 2016|0.017961|0.018193|0.015104|0.017903|1,358|152,767
Jun 22, 2016|0.021148|0.022576|0.017712|0.017735|3,678|179,870
Jun 21, 2016|0.027911|0.027911|0.021014|0.021785|2,099|237,391
Jun 20, 2016|0.027097|0.028538|0.024977|0.027914|3,441|230,471
Jun 19, 2016|0.023657|0.037350|0.023578|0.026297|7,268|201,211
Jun 18, 2016|0.019242|0.028558|0.019114|0.024570|9,529|163,664
Jun 17, 2016|0.021395|0.021941|0.016279|0.019254|4,792|181,974
Jun 16, 2016|0.021992|0.023803|0.016367|0.021391|8,314|187,049
Jun 15, 2016|0.026422|0.026458|0.018682|0.021979|7,212|224,726
Jun 14, 2016|0.026421|0.029215|0.023953|0.026432|3,362|224,719
Jun 13, 2016|0.027294|0.036375|0.025054|0.026418|7,258|232,147
Jun 12, 2016|0.028593|0.031015|0.025425|0.027274|16,245|243,191
Jun 11, 2016|0.024341|0.037333|0.024341|0.028611|25,304|207,026
Jun 10, 2016|0.025875|0.026386|0.024254|0.024345|1,184|220,072
Jun 09, 2016|0.027596|0.027621|0.025809|0.025875|4,004|234,719
Jun 08, 2016|0.030029|0.031142|0.027014|0.027603|8,724|255,407
Jun 07, 2016|0.036903|0.039332|0.029062|0.030739|279,170|313,875
Jun 06, 2016|0.032853|0.042839|0.032727|0.037397|290,806|279,425
Jun 05, 2016|0.039532|0.039589|0.032511|0.032524|5,109|336,232
Jun 04, 2016|0.049579|0.051501|0.034935|0.039563|252,855|421,691
Jun 03, 2016|0.036080|0.065018|0.033238|0.049570|326,326|306,870
Jun 02, 2016|0.043793|0.050386|0.035199|0.036083|113,223|372,473
Jun 01, 2016|0.045012|0.069078|0.040457|0.043824|115,654|382,848
May 31, 2016|0.017549|0.115070|0.015352|0.045296|260,345|149,257
May 30, 2016|0.010477|0.020567|0.009746|0.017576|5,420|89,109
May 29, 2016|0.012200|0.012200|0.009865|0.010464|468|103,762
May 28, 2016|0.012320|0.012563|0.010812|0.012213|679|104,790
May 27, 2016|0.012893|0.013226|0.011242|0.012327|561|109,661
May 26, 2016|0.015651|0.015671|0.012697|0.012893|776|133,113
May 25, 2016|0.015520|0.016384|0.013800|0.015648|997|132,002
May 24, 2016|0.016208|0.016752|0.010238|0.015522|2,620|137,858
May 23, 2016|0.017167|0.017826|0.016071|0.016132|987|146,013
May 22, 2016|0.018224|0.019354|0.017169|0.017172|1,299|154,999
May 21, 2016|0.019350|0.019977|0.017941|0.018225|1,535|164,582
May 20, 2016|0.020415|0.022753|0.019335|0.019335|3,660|173,636
May 19, 2016|0.025603|0.025808|0.018458|0.020565|5,873|217,767
May 18, 2016|0.027002|0.028806|0.025177|0.025607|4,251|229,662
May 17, 2016|0.029367|0.035668|0.024974|0.027004|6,298|249,780
May 16, 2016|0.030778|0.037401|0.028688|0.029376|2,408|261,781
May 15, 2016|0.030517|0.037721|0.029283|0.030784|3,563|259,556
May 14, 2016|0.028388|0.032261|0.026214|0.030516|7,521|241,452
May 13, 2016|0.032403|0.032488|0.027547|0.028389|7,050|275,596
May 12, 2016|0.035196|0.038137|0.031097|0.032400|20,010|299,358
May 11, 2016|0.036103|0.044529|0.034745|0.035192|50,373|307,072
May 10, 2016|0.035334|0.040683|0.033031|0.036083|36,392|300,533
May 09, 2016|0.028769|0.038194|0.028532|0.035332|13,372|244,695
May 08, 2016|0.028068|0.035299|0.028035|0.028773|5,111|238,726
May 07, 2016|0.028315|0.033964|0.026038|0.028061|7,471|240,827
May 06, 2016|0.028145|0.032467|0.027361|0.028322|5,130|239,380
May 05, 2016|0.023242|0.033065|0.023222|0.028145|8,569|197,681
May 04, 2016|0.023077|0.024383|0.021413|0.023241|3,128|196,280
May 03, 2016|0.024879|0.024891|0.021160|0.023078|2,240|211,601
May 02, 2016|0.026528|0.026631|0.024575|0.024875|2,910|225,628
